nohup: ignoring input
device = cuda, kinematic_prior = True, N in [20, 50], max_steps = 1000
iter  420/500 | return -345.639 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.5767 | pi_loss  0.0007 | v_loss  5.1035 | elapsed 78772.2s
iter  425/500 | return -346.626 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8222 | pi_loss  0.0009 | v_loss  4.7714 | elapsed 79732.3s
iter  430/500 | return -327.034 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 1.0075 | pi_loss  0.0016 | v_loss  4.7587 | elapsed 80673.6s
iter  435/500 | return -328.095 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 1.0208 | pi_loss  0.0038 | v_loss  5.8387 | elapsed 81622.5s
iter  440/500 | return -349.598 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7546 | pi_loss  0.0343 | v_loss  5.0017 | elapsed 82558.9s
iter  445/500 | return -367.982 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9209 | pi_loss  0.0018 | v_loss  6.5474 | elapsed 83520.0s
iter  450/500 | return -342.821 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.5287 | pi_loss  0.0011 | v_loss  5.9236 | elapsed 84457.2s
iter  455/500 | return -329.664 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7111 | pi_loss  0.0008 | v_loss  4.8785 | elapsed 85404.3s
iter  460/500 | return -338.331 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.5789 | pi_loss  0.0018 | v_loss  5.9696 | elapsed 86334.4s
iter  465/500 | return -347.945 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.4693 | pi_loss  0.0175 | v_loss  5.9597 | elapsed 87267.8s
iter  470/500 | return -338.178 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7744 | pi_loss  0.0083 | v_loss  4.3910 | elapsed 88200.1s
iter  475/500 | return -347.899 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9760 | pi_loss  0.0010 | v_loss  5.5005 | elapsed 89162.0s
iter  480/500 | return -357.093 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6111 | pi_loss  0.0002 | v_loss  5.1319 | elapsed 90107.6s
iter  485/500 | return -339.960 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8393 | pi_loss  0.0011 | v_loss  5.2816 | elapsed 91023.4s
iter  490/500 | return -390.299 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.5497 | pi_loss  0.0024 | v_loss 10.2629 | elapsed 91941.8s
iter  495/500 | return -325.683 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7606 | pi_loss  0.0006 | v_loss  5.1439 | elapsed 92884.0s
iter  500/500 | return -331.597 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7622 | pi_loss  0.0019 | v_loss  4.5200 | elapsed 93839.1s
Saved learning curve to /workspace/pi_tgat_mappo/results/learning_curve.png

Done. Results written to /workspace/pi_tgat_mappo/results
